Listing Name,Rent Price (Yearly),Location,Listing Type,Square Feet,Bed,Bath
Beautiful View|3 bedroom|With Balcony|Standpoint A,"119,000","Standpoint Tower 1, Standpoint Towers, Downtown Dubai, Dubai",Apartment,"1,445 sqft",3,2
Excellent ! 2B/R + Study ! Facing Pool View ! Rent only 90k,"90,000","Al Ghozlan 3, Al Ghozlan, The Greens, Dubai",Apartment,"1,302 sqft",2,3
Several Options|2 BRS with Sea and Canal views,"105,000","Al Habtoor City, Business Bay, Dubai",Apartment,"1,540 sqft",2,4
Fully furnished | higher floor | 1. 5 bath,"50,000","Dream Tower 1, Dream Towers, Dubai Marina, Dubai",Apartment,800 sqft,1,2
3 Bed + Maid's Villa with Garden and Pool in Mirdif,"110,000","Uptown Mirdif, Mirdif, Dubai",Villa,"2,500 sqft",3,5
good size studio just 24k with balcony and pool view!,"28,000"," Noora Residence, Jumeirah Village Circle (JVC), Dubai",Apartment,470 sqft,null,1
SPACIOUS 2 BEDROOM BRAND NEW HIGH FINISHING THREE BATHROOM,"52,000","Warsan 4, Al Warsan, Dubai",Apartment,"1,276 sqft",2,3
2 BEDROOM   ENSUITE BATHROOM| HIGH FLOOR | PARK TOWER,"90,000","Park Towers, DIFC, Dubai",Apartment,"1,297 sqft",2,3
Full Marina View | 2 Bed Room | With Balcony | 55K,"55,000","New Dubai Gate 1, New Dubai Gate, Jumeirah Lake Towers (JLT), Dubai",Apartment,980 sqft,2,2
Spacious Fully Upgraded 3 BR Villa with private garden,"190,000","Jumeirah 3, Jumeirah, Dubai",Villa,"3,500 sqft",3,3
Brand new | Beautiful and Huge  | with appliances,"85,000","Vezul Tower, Business Bay, Dubai",Apartment,"1,422 sqft",2,3
Well Maintained Fully Landscaped Hayat Type 6,"100,000","Hayat Townhouses 2, Hayat Townhouses, Town Square, Dubai",Townhouse,"2,211 sqft",3,3
Biggest living space 1BHK Apt.  1000+sq. ft. | Prime Location | JVC,"45,000","Spica Residential, Jumeirah Village Circle (JVC), Dubai",Apartment,"1,063 sqft",1,2
1 B/R Fully Furnished | Modern Style | AC Free,"45,000","Le Presidium 2, Le Presidium, Dubai Silicon Oasis, Dubai",Apartment,723 sqft,1,2
3BR+STUDY+MAID TOWNHOUSE | ONE MONTH FREE & FREE MAINTENANCE,"155,000","Cedre Villas, Dubai Silicon Oasis, Dubai",Villa,"4,132 sqft",3,4
